ejercicio_presupuestario,credito_presupuestado,credito_vigente,credito_devengado,recurso_inicial,recurso_vigente,recurso_ingresado_percibido,gasto_primario_presupuestado,gasto_primario_vigente,gasto_primario_devengado,ultima_actualizacion_fecha
2007,"113221,365459","148298,793505","142421,08473426","120391,86574","150610,967493","147464,94071026","99346,486459","130702,682047","125244,68717997",Última actualización del ejercicio 2007: 17 Agosto 2008.
2008,"161486,462174","205735,41918","192974,14488168","169462,800981","214123,086402","200098,75765998","142417,182174","183051,322239","171391,4316912",Última actualización del ejercicio 2008: 12 Julio 2009.
2009,"233839,709914","264410,251056","249914,09210916","242948,875264","269493,519854","240485,44971037","209360,285914","236059,834146","223977,77250625",Última actualización del ejercicio 2009: 02 Agosto 2010.
2010,"275779,423917","341743,601425","329034,15959873","273750,890967","328838,61169","327153,98125929","249242,615917","315341,796663","305482,49471695",Última actualización del ejercicio 2010: 07 Agosto 2011.
2011,"380416,53423","468991,378438","450548,23635358","374549,075269","419922,885355","407334,55906459","344269,727435","424140,848532","409360,28820005",Última actualización del ejercicio 2011: 15 Julio 2012.
2012,"505129,953435","588586,684029","561832,95100612","506576,200857","528328,931384","512760,62612284","460321,532494","538414,9247","513943,3038747",Última actualización del ejercicio 2012: 06 Octubre 2013.
2013,"628712,718165","780149,784696","750934,91293345","629216,685298","669461,197864","665876,7723747","573407,165665","734848,668497","709355,86337836",Última actualización del ejercicio 2013: 13 Julio 2014.
2014,"859581,684176","1164759,432224","1134364,21525105","860411,622214","966398,419177","944178,0331186","782334,078828","1076393,876629","1049544,91057842",Última actualización del ejercicio 2014: 05 Julio 2015.
2015,"1251674,759688","1499476,06941","1431662,12669639","1202006,463046","1252151,150078","1212308,00419454","1155457,38829","1388765,816609","1324361,15123856",Última actualización del ejercicio 2015: 03 Julio 2016.
2016,"1570127,635321","2215682,944448","2131113,2560173","1471717,919281","1631840,04298","1659383,4282211","1466606,605321","1904141,893588","1834811,43304906",Última actualización del ejercicio 2016: 10 Julio 2017.
2017,"2363658,901159","2633514,817167","2564004,56085514","1882818,496302","1974470,937109","1947405,38571359","2117045,134793","2307307,865811","2248756,38843127",Última actualización del ejercicio 2017: 09 Julio 2018.
2018,"2878796,317468","3461895,004325","3203324,88079554","2199926,443077","2495125,872606","2390664,71744721","2473669,331877","2863320,62695","2671937,40905287",Última actualización del ejercicio 2018: 24 Junio 2019.
2019,"4172312,239441","4923661,115104","4535598,59100201","3572026,538833","3968507,634914","3800392,42249815","3431745,875156","3962387,219907","3614791,38567301",Última actualización del ejercicio 2019: 06 Julio 2020.
2020,"4860071,525715","7742166,012732","6585443,10418763","3969791,127572","6302704,97635","5940195,09798568","3898797,630518","6780107,080297","5979226,97856002",Última actualización del ejercicio 2020: 11 Julio 2021.
2021,"8394994,82505","11000194,103924","10660803,34674108","6941308,945531","8608507,093824","8606210,17532799","7733816,673309","10228954,152708","9897398,19407323",Última actualización del ejercicio 2021: 04 Julio 2022.
2022,"10775949,911983","18126071,2939","17253288,35092442","7981693,093824","12876113,156206","12840989,38261982","10004709,960767","16540669,740492","15688704,44562287",Última actualización del ejercicio 2022: 02 Julio 2023.
2023,"28954031,315031","40411433,316478","37144980,73553334","22554178,961624","28381785,448066","28785918,23733654","26047601,896287","35985396,009186","33810805,6779241",Última actualización del ejercicio 2023: 30 Junio 2024.
2024,"40250029,22075","96054275,744936","89667784,71363553","28061785,448066","89936777,966719","87753909,4185966","35823991,913458","85841989,421314","80334720,54244319",Última actualización del ejercicio 2024: 01 Julio 2025.
2025,"94573214,036062","128528614,34637","122877771,22883576","88011330,392401","135802171,595709","133537552,60083098","84360927,71244","116393019,022748","112723786,22315205",Última actualización del ejercicio 2025: 29 Diciembre 2025.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2025.
2026,"148069293,526549","148069336,096549","34215917,23306962","148295762,681598","148295805,251598","35824100,69254743","134032808,926998","134032851,496998","29762991,93275584",Última actualización del ejercicio 2026: 31 Marzo 2026.
